year_film,year_ceremony,number_ceremony,category,actor_name,film,winner
1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,f
1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,t
1928,1929,2,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,f
1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,f
1928,1929,2,CINEMATOGRAPHY,John Seitz,The Divine Lady,f
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,f
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,f
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,f
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,t
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,f
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,f
1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,f
1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,f
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,t
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,f
1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,f
1928,1929,2,WRITING,Tom Barry,In Old Arizona;,f
1928,1929,2,WRITING,Elliott Clawson,The Cop;,f
1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,f
1928,1929,2,WRITING,Hans Kraly,The Patriot,t
1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,f
1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,f
1929,1930,3,ACTOR,George Arliss,Disraeli,t
1929,1930,3,ACTOR,George Arliss,The Green Goddess,f
1929,1930,3,ACTOR,Wallace Beery,The Big House,f
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,f
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,f
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,f
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,f
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,f
1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,f
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,t
1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,f
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,f
1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,f
1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,t
1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,f
1929,1930,3,ART DIRECTION,(Jack Okey),Sally,f
1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,f
1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,f
1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,f
1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,f
1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,f
1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,t
1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,f
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,f
1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,f
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,t
1929,1930,3,DIRECTING,King Vidor,Hallelujah,f
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,t
1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,f
1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,f
1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,f
1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,f
1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,t
1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,f
1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,f
1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,f
1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,f
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,f
1929,1930,3,WRITING,Frances Marion,The Big House,t
1929,1930,3,WRITING,(Julian Josephson),Disraeli,f
1929,1930,3,WRITING,(John Meehan),The Divorcee,f
1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,f
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,t
1930,1931,4,ACTOR,Jackie Cooper,Skippy,f
1930,1931,4,ACTOR,Richard Dix,Cimarron,f
1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,f
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,f
1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,f
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,t
1930,1931,4,ACTRESS,Irene Dunne,Cimarron,f
1930,1931,4,ACTRESS,Ann Harding,Holiday,f
1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,f
1930,1931,4,ART DIRECTION,Max Rée,Cimarron,t
1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,f
1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,f
1930,1931,4,ART DIRECTION,Anton Grot,Svengali,f
1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,f
1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,f
1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,f
1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,f
1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,f
1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,t
1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,f
1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,f
1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,f
1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,f
1930,1931,4,DIRECTING,Norman Taurog,Skippy,t
1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,t
1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,f
1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,f
1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,f
1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,f
1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,f
1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,f
1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,t
1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department,,f
1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,t
1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,f
1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,f
1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,f
1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,f
1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,t
1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,f
1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,f
1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,f
1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,f
1931,1932,5,ACTOR,Wallace Beery,The Champ,t
1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,f
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,t
1931,1932,5,ACTRESS,Marie Dressler,Emma,f
1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,f
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,t
1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,f
1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,f
1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,t
1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,f
1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,f
1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,t
1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,t
1931,1932,5,DIRECTING,King Vidor,The Champ,f
1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,f
1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,f
1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,f
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,f
1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,f
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,t
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,f
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,f
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,f
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,t
1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,f
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,f
1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,f
1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,t
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,f
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,f
1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,f
1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,f
1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,t
1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,f
1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,t
1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department,,f
1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,f
1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,f
1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,t
1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,f
1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,t
1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,f
1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,f
1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,f
1931,1932,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,t
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,f
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,t
1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,f
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,t
1932,1933,6,ACTRESS,May Robson,Lady for a Day,f
1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,f
1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,t
1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,f
1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,f
1932,1933,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,f
1932,1933,6,ASSISTANT DIRECTOR,William Tummel (Fox),,t
1932,1933,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,t
1932,1933,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,f
1932,1933,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,f
1932,1933,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),,t
1932,1933,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,f
1932,1933,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,f
1932,1933,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,f
1932,1933,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,t
1932,1933,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),,t
1932,1933,6,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,f
1932,1933,6,ASSISTANT DIRECTOR,Scott Beal (Universal),,t
1932,1933,6,ASSISTANT DIRECTOR,Joe McDonough (Universal),,f
1932,1933,6,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,f
1932,1933,6,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,f
1932,1933,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,t
1932,1933,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,f
1932,1933,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,t
1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,f
1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,f
1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,t
1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,f
1932,1933,6,DIRECTING,George Cukor,Little Women,f
1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,t
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,f
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,f
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,f
1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,f
1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,f
1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,f
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,f
1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,f
1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,f
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,f
1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,f
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,t
1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,f
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,f
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,t
1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,t
1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,f
1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,f
1932,1933,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,t
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,f
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Gold Diggers of 1933,f
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",I Am a Fugitive from a Chain Gang,f
1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,f
1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,t
1932,1933,6,WRITING (Adaptation),"Paul Green, Sonya Levien",State Fair,f
1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,t
1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,f
1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,f
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,t
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,f
1934,1935,7,ACTOR,William Powell,The Thin Man,f
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,t
1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,f
1934,1935,7,ACTRESS,Grace Moore,One Night of Love,f
1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,f
1934,1935,7,ART DIRECTION,Richard Day,The Affairs of Cellini,f
1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,f
1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,t
1934,1935,7,ASSISTANT DIRECTOR,Cullen Tate,Cleopatra,f
1934,1935,7,ASSISTANT DIRECTOR,Scott Beal,Imitation of Life,f
1934,1935,7,ASSISTANT DIRECTOR,John Waters,Viva Villa!,t
1934,1935,7,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,f
1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,t
1934,1935,7,CINEMATOGRAPHY,George Folsey,Operator 13,f
1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,t
1934,1935,7,DIRECTING,Victor Schertzinger,One Night of Love,f
1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,f
1934,1935,7,FILM EDITING,Anne Bauchens,Cleopatra,f
1934,1935,7,FILM EDITING,Conrad Nervig,Eskimo,t
1934,1935,7,FILM EDITING,Gene Milford,One Night of Love,f
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,f
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,f
1934,1935,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,t
1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,f
1934,1935,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,t
1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,f
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,f
1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,f
1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,f
1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,f
1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,f
1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,f
1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,f
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,t
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,f
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,f
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,f
1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,f
1934,1935,7,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,f
1934,1935,7,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,f
1934,1935,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,t
1934,1935,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,t
1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,f
1934,1935,7,SHORT SUBJECT (Comedy),Warner Bros.,"What, No Men!",f
1934,1935,7,SHORT SUBJECT (Novelty),Skibo Productions,Bosom Friends,f
1934,1935,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,t
1934,1935,7,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Strikes and Spares,f
1934,1935,7,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Affairs of Cellini,f
1934,1935,7,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra,f
1934,1935,7,SOUND RECORDING,"Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director",Flirtation Walk,f
1934,1935,7,SOUND RECORDING,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",The Gay Divorcee,f
1934,1935,7,SOUND RECORDING,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life,f
1934,1935,7,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love,t
1934,1935,7,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Viva Villa!,f
1934,1935,7,SOUND RECORDING,"Fox Studio Sound Department, E. H. Hansen, Sound Director",The White Parade,f
1934,1935,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,t
1934,1935,7,WRITING (Adaptation),"Frances Goodrich, Albert Hackett",The Thin Man,f
1934,1935,7,WRITING (Adaptation),Ben Hecht,Viva Villa!,f
1934,1935,7,WRITING (Original Story),Mauri Grashin,Hide-Out,f
1934,1935,7,WRITING (Original Story),Arthur Caesar,Manhattan Melodrama,t
1934,1935,7,WRITING (Original Story),Norman Krasna,The Richest Girl in the World,f
1934,1935,7,SPECIAL AWARD, Shirley Temple,,t
1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,f
1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,f
1935,1936,8,ACTOR,Victor McLaglen,The Informer,t
1935,1936,8,ACTOR,Paul Muni,Black Fury,f
1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,f
1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,f
1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,f
1935,1936,8,ACTRESS,Bette Davis,Dangerous,t
1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,f
1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,f
1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,f
1935,1936,8,ART DIRECTION,Richard Day,The Dark Angel,t
1935,1936,8,ART DIRECTION,"Hans Dreier, Roland Anderson",The Lives of a Bengal Lancer,f
1935,1936,8,ART DIRECTION,"Van Nest Polglase, Carroll Clark",Top Hat,f
1935,1936,8,ASSISTANT DIRECTOR,Joseph Newman,David Copperfield,f
1935,1936,8,ASSISTANT DIRECTOR,Eric Stacey,Les Miserables,f
1935,1936,8,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer,t
